date,time,source,product,file,n,s,e,w,resolution_m,description
2026-01-17,13:00:00,modis,lst,HP_SAT_LST_20260117_1300.png,35.02864,35.001509,126.567282,126.534377,1000.0,MODIS Terra MOD11A2 8-day Day LST (°C)
2026-01-18,10:26:45,nisar,gist_sm,HP_SAT_GIST_SM_20260118_1026.png,35.019844,35.010307,126.556014,126.545648,200.0,GIST soil moisture beta product (m³/m³)
2026-01-18,10:26:45,nisar,hh,HP_SAT_HH_20260118_1026.png,35.019844,35.010307,126.556014,126.545648,200.0,NISAR sigma0 backscatter HH polarization (linear)
2026-01-18,10:26:45,nisar,hv,HP_SAT_HV_20260118_1026.png,35.019844,35.010307,126.556014,126.545648,200.0,NISAR sigma0 backscatter HV polarization (linear)
2026-01-18,10:26:45,nisar,lia,HP_SAT_LIA_20260118_1026.png,35.019844,35.010307,126.556014,126.545648,200.0,Local Incidence Angle (degrees)
2026-01-18,10:26:45,nisar,sm,HP_SAT_SM_20260118_1026.png,35.019844,35.010307,126.556014,126.545648,200.0,NISAR LSAR SME2 soil moisture beta (m³/m³)
2026-01-23,02:11:34,hls,ndvi,HP_SAT_NDVI_20260123_0211.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2026-01-23,02:11:58,landsat,lst,HP_SAT_LST_20260123_0211.png,35.024253,35.005896,126.561934,126.539726,30.0,"Landsat 8/9 C2 L2 ST_B10 LST (°C, QA-masked)"
2026-01-24,02:05:58,landsat,lst,HP_SAT_LST_20260124_0205.png,35.024253,35.005896,126.561934,126.539726,30.0,"Landsat 8/9 C2 L2 ST_B10 LST (°C, QA-masked)"
2026-01-24,02:05:58,hls,ndvi,HP_SAT_NDVI_20260124_0205.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2026-01-25,13:00:00,modis,lst,HP_SAT_LST_20260125_1300.png,35.02864,35.001509,126.567282,126.534377,1000.0,MODIS Terra MOD11A2 8-day Day LST (°C)
2026-01-31,02:11:41,hls,ndvi,HP_SAT_NDVI_20260131_0211.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2026-01-31,02:12:05,landsat,lst,HP_SAT_LST_20260131_0212.png,35.024253,35.005896,126.561934,126.539726,30.0,"Landsat 8/9 C2 L2 ST_B10 LST (°C, QA-masked)"
2026-01-31,02:18:29,hls,ndvi,HP_SAT_NDVI_20260131_0218.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2026-02-01,02:05:43,landsat,lst,HP_SAT_LST_20260201_0205.png,35.024253,35.005896,126.561934,126.539726,30.0,"Landsat 8/9 C2 L2 ST_B10 LST (°C, QA-masked)"
2026-02-02,00:00:00,modis,ndvi,HP_SAT_NDVI_20260202_0000.png,35.026379,35.00377,126.563992,126.537668,500.0,MODIS Terra MOD13A1 16-day NDVI composite
2026-02-02,13:00:00,modis,lst,HP_SAT_LST_20260202_1300.png,35.02864,35.001509,126.567282,126.534377,1000.0,MODIS Terra MOD11A2 8-day Day LST (°C)
2026-02-08,02:11:29,hls,ndvi,HP_SAT_NDVI_20260208_0211.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2026-02-08,02:11:53,landsat,lst,HP_SAT_LST_20260208_0211.png,35.024253,35.005896,126.561934,126.539726,30.0,"Landsat 8/9 C2 L2 ST_B10 LST (°C, QA-masked)"
2026-02-09,02:05:54,landsat,lst,HP_SAT_LST_20260209_0205.png,35.024253,35.005896,126.561934,126.539726,30.0,"Landsat 8/9 C2 L2 ST_B10 LST (°C, QA-masked)"
2026-02-09,02:05:54,hls,ndvi,HP_SAT_NDVI_20260209_0205.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2026-02-10,13:00:00,modis,lst,HP_SAT_LST_20260210_1300.png,35.02864,35.001509,126.567282,126.534377,1000.0,MODIS Terra MOD11A2 8-day Day LST (°C)
2026-02-17,02:05:41,landsat,lst,HP_SAT_LST_20260217_0205.png,35.024253,35.005896,126.561934,126.539726,30.0,"Landsat 8/9 C2 L2 ST_B10 LST (°C, QA-masked)"
2026-02-17,02:05:41,hls,ndvi,HP_SAT_NDVI_20260217_0205.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2026-02-18,00:00:00,modis,ndvi,HP_SAT_NDVI_20260218_0000.png,35.026379,35.00377,126.563992,126.537668,500.0,MODIS Terra MOD13A1 16-day NDVI composite
2026-02-18,13:00:00,modis,lst,HP_SAT_LST_20260218_1300.png,35.02864,35.001509,126.567282,126.534377,1000.0,MODIS Terra MOD11A2 8-day Day LST (°C)
2026-02-26,13:00:00,modis,lst,HP_SAT_LST_20260226_1300.png,35.02864,35.001509,126.567282,126.534377,1000.0,MODIS Terra MOD11A2 8-day Day LST (°C)
2026-03-04,02:11:34,hls,ndvi,HP_SAT_NDVI_20260304_0211.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2026-03-04,02:11:58,landsat,lst,HP_SAT_LST_20260304_0211.png,35.024253,35.005896,126.561934,126.539726,30.0,"Landsat 8/9 C2 L2 ST_B10 LST (°C, QA-masked)"
2026-03-05,02:05:36,landsat,lst,HP_SAT_LST_20260305_0205.png,35.024253,35.005896,126.561934,126.539726,30.0,"Landsat 8/9 C2 L2 ST_B10 LST (°C, QA-masked)"
2026-03-05,02:05:36,hls,ndvi,HP_SAT_NDVI_20260305_0205.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2026-03-06,00:00:00,modis,ndvi,HP_SAT_NDVI_20260306_0000.png,35.026379,35.00377,126.563992,126.537668,500.0,MODIS Terra MOD13A1 16-day NDVI composite
2026-03-06,13:00:00,modis,lst,HP_SAT_LST_20260306_1300.png,35.02864,35.001509,126.567282,126.534377,1000.0,MODIS Terra MOD11A2 8-day Day LST (°C)
2026-03-07,02:15:41,hls,ndvi,HP_SAT_NDVI_20260307_0215.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2026-03-12,02:11:16,hls,ndvi,HP_SAT_NDVI_20260312_0211.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2026-03-12,02:11:40,landsat,lst,HP_SAT_LST_20260312_0211.png,35.024253,35.005896,126.561934,126.539726,30.0,"Landsat 8/9 C2 L2 ST_B10 LST (°C, QA-masked)"
2026-03-12,02:15:59,hls,ndvi,HP_SAT_NDVI_20260312_0215.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2026-03-13,02:05:41,landsat,lst,HP_SAT_LST_20260313_0205.png,35.024253,35.005896,126.561934,126.539726,30.0,"Landsat 8/9 C2 L2 ST_B10 LST (°C, QA-masked)"
2026-03-13,02:05:41,hls,ndvi,HP_SAT_NDVI_20260313_0205.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
2026-03-14,13:00:00,modis,lst,HP_SAT_LST_20260314_1300.png,35.02864,35.001509,126.567282,126.534377,1000.0,MODIS Terra MOD11A2 8-day Day LST (°C)
2026-03-17,02:15:31,hls,ndvi,HP_SAT_NDVI_20260317_0215.png,35.024253,35.005896,126.561934,126.539726,30.0,HLS L30+S30 30 m NDVI (Fmask-masked)
